id,title,Publish Time,Mission,Methods,Object
590,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.508....1C"", ""Optimizing a magnitude-limited spectroscopic training sample for photometric classification of supernovae"")",2021-11-1,Object Classification,NN,Instruments/Software/Methods
591,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4425C"", ""Galaxy morphological classification catalogue of the Dark Energy Survey Year 3 data with convolutional neural networks"")",2021-11-1,Object Classification,CNN,Galaxies
592,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4149L"", ""DeepSZ: identification of Sunyaev-Zel'dovich galaxy clusters using deep learning"")",2021-11-1,Object Detection,CNN:ResNet,Galaxies
593,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4095L"", ""Using CFSVM model to classify stars from three-colour images"")",2021-11-1,Feature Extraction/Dim Reduction/Cluster,CNN:EfficientNet,Stars
594,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4061F"", ""Classification of Fermi-LAT sources with deep learning using energy and time spectra"")",2021-11-1,Object Classification,NN:MLP,Stars
595,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.3519Z"", ""Hybrid deep convolutional neural network with one-versus-one approach for solar flare prediction"")",2021-11-1,Object Classification,CNN,Solar
596,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...921..177S"", ""Capturing the Physics of MaNGA Galaxies with Self-supervised Machine Learning"")",2021-11-1,Feature Extraction/Dim Reduction/Cluster,CNN,Galaxies
597,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...921...76K"", ""Prediction of Soft Proton Intensities in the Near-Earth Space Using Machine Learning"")",2021-11-1,Prediction-Regression,NN:MLP,High Energy
598,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....162..195Y"", ""Peeking inside the Black Box: Interpreting Deep-learning Models for Exoplanet Atmospheric Retrievals"")",2021-11-1,Explainable AI,NN:MLP,Planet
599,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...656A..62P"", ""Identification of point sources in gamma rays using U-shaped convolutional neural networks and a data challenge"")",2021-11-1,Object Detection,Unet,High Energy: Gamma Rays
600,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...655A..82B"", ""A package for the automated classification of images containing supernova light echoes"")",2021-11-1,Object Classification,CNN,Stars
601,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...655A..66L"", ""Alleviating the transit timing variation bias in transit surveys. I. RIVERS: Method and detection of a pair of resonant super-Earths around Kepler-1705"")",2021-11-1,Image Segmentation,CNN:DenseNet,Planet
602,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...655A..56D"", ""Nonsequential neural network for simultaneous, consistent classification, and photometric redshifts of OTELO galaxies"")",2021-11-1,Object Classification + Prediction-Regression,NN:MLP,Galaxies
603,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021PhRvD.104h3531G"", ""Unbiased likelihood-free inference of the Hubble constant from light standard sirens"")",2021-10-1,Statistical Inference,Flow:Autoautoregressive flow,Cosmology
604,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2115M"", ""GalaxyNet: connecting galaxies and dark matter haloes with deep neural networks and reinforcement learning in large volumes"")",2021-10-1,Prediction-Regression,NN:MLP,Galaxies
605,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.1937B"", ""Deep Learning assessment of galaxy morphology in S-PLUS Data Release 1"")",2021-10-1,Object Classification,CNN:EfficientNet,Galaxies
606,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.1836W"", ""Detecting optical transients using artificial neural networks and reference images from different surveys"")",2021-10-1,Object Detection,CNN,Transient
607,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.1546L"", ""Superresolving Herschel imaging: a proof of concept using Deep Neural Networks"")",2021-10-1,Image Refinement,Unet,Instruments/Software/Methods
609,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.5923L"", ""Photometric redshifts estimation for galaxies by using FOABP-RF"")",2021-10-1,Prediction-Regression,NN:MLP,Galaxies
610,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.5294W"", ""Star cluster classification in the PHANGS-HST survey: Comparison between human and machine learning approaches"")",2021-10-1,Object Classification,CNN:ResNet,Star Clusters
611,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.5212H"", ""Deep forest: Neural network reconstruction of the Lyman-\ensuremath\alpha forest"")",2021-10-1,Data Reconstruction,CNN:Conv1D,Cosmology
612,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJS..256...34C"", ""Classifying Seyfert Galaxies with Deep Learning"")",2021-10-1,Object Classification,CNN:Conv1D,Galaxies
613,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...920..101S"", ""Generation of He I 1083 nm Images from SDO AIA Images by Deep Learning"")",2021-10-1,Generation,GAN:cGAN,Solar
615,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...920...21M"", ""Estimating Magnetic Filling Factors from Simultaneous Spectroscopy and Photometry: Disentangling Spots, Plage, and Network"")",2021-10-1,Prediction-Regression,NN:MLP,Solar
616,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...920....3A"", ""DPNNet-2.0. I. Finding Hidden Planets from Simulated Images of Protoplanetary Disk Gaps"")",2021-10-1,Object Detection,CNN:ResNet,Planet
617,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...919...82W"", ""Deep Learning with Quantized Neural Networks for Gravitational-wave Forecasting of Eccentric Compact Binary Coalescence"")",2021-10-1,Object Detection + Model Compression,CNN:ResNet,Gravitational Waves
618,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....162..157G"", ""StelNet: Hierarchical Neural Network for Automatic Inference in Stellar Characterization"")",2021-10-1,Prediction,NN:MLP,Stars
619,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....162..155X"", ""Improve the Search of Very Metal-poor Stars Using the Deep Learning Method"")",2021-10-1,Object Detection,CNN,Stars
620,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021PhRvD.104f4051J"", ""Improving significance of binary black hole mergers in Advanced LIGO data using deep learning: Confirmation of GW151216"")",2021-9-1,Object Detection,CNN:InceptionNet,Gravitational Waves
621,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021PhRvD.104f4046C"", ""Extraction of binary black hole gravitational wave signals from detector data using deep learning"")",2021-9-1,Object Detection,AE:Conv1D+LSTM,Gravitational Waves
622,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021PhRvD.104f2004Y"", ""Early warning of coalescing neutron-star and neutron-star-black-hole binaries from the nonstationary noise background using neural networks"")",2021-9-1,Object Detection,CNN,Gravitational Waves
623,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.4070A"", ""The BACCO simulation project: a baryonification emulator with neural networks"")",2021-9-1,Simulation,NN:MLP,Cosmology
624,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.3439R"", ""Primordial non-Gaussianity from the completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey - I: Catalogue preparation and systematic mitigation"")",2021-9-1,Data Processing,NN:MLP,Instruments/Software/Methods
626,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.3313G"", ""Predicting bulge to total luminosity ratio of galaxies using deep learning"")",2021-9-1,Prediction,CNN:Xception,Galaxies
627,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.3098D"", ""Inferring time-dependent distribution functions from kinematic snapshots"")",2021-9-1,Prediction,CNN,Galaxies
629,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1927V"", ""Pushing automated morphological classifications to their limits with the Dark Energy Survey"")",2021-9-1,Object Classification,CNN,Galaxies
630,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1916R"", ""An investigation of the causal relationship between sunspot groups and coronal mass ejections by determining source active regions"")",2021-9-1,Object Detection,LSTM,Solar
631,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1427W"", ""Peculiar velocity estimation from kinetic SZ effect using deep neural networks"")",2021-9-1,Prediction-Regression,CNN,Cosmology
632,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1111K"", ""Detecting pulsars with neural networks: a proof of concept"")",2021-9-1,Object Detection,CNN,Stars
633,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506..677C"", ""DeepMerge - II. Building robust deep learning algorithms for merging galaxy identification across domains"")",2021-9-1,Object Detection,CNN,Galaxies
634,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.506..659C"", ""Morphological classification of galaxies with deep learning: comparing 3-way and 4-way CNNs"")",2021-9-1,Object Classification,CNN,Galaxies
635,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJS..256...20J"", ""Tracing H\ensuremath\alpha Fibrils through Bayesian Deep Learning"")",2021-9-1,Object Detection,Unet,Solar
636,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...919...11H"", ""Bayesian Nonparametric Inference of the Neutron Star Equation of State via a Neural Network"")",2021-9-1,Prediction-Regression,NN:MLP,Stars
637,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...653L...6C"", ""HOLISMOKES. VI. New galaxy-scale strong lens candidates from the HSC-SSP imaging survey"")",2021-9-1,Object Detection,CNN:ResNet,Galaxies
638,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...653A.106H"", ""MILCANN: A tSZ map for galaxy cluster detection assessed using a neural network"")",2021-9-1,Data Reconstruction,NN:MLP,Galaxies
640,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...653A..76H"", ""Chemulator: Fast, accurate thermochemistry for dynamical models through emulation"")",2021-9-1,Simulation,AE,Instruments/Software/Methods
641,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...653A..22K"", ""Deep transfer learning for the classification of variable sources"")",2021-9-1,Object Classification,NN:MLP,Stars
642,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021RAA....21..184L"", ""Predicting the 25th solar cycle using deep learning methods based on sunspot area data"")",2021-8-1,Prediction,LSTM,Solar
643,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021RAA....21..171W"", ""A method for pulsar searching: combining a two-dimensional autocorrelation profile map and a deep convolutional neural network"")",2021-8-1,Object Detection,LSTM,Stars
644,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021RAA....21..159P"", ""A novel method for telescope polarization modeling based on an artificial neural network"")",2021-8-1,Prediction-Regression,NN:MLP,Instruments/Software/Methods
645,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021PhRvD.104d3529G"", ""Reconstructing patchy reionization with deep learning"")",2021-8-1,Data Reconstruction,CNN:ResUnet,Cosmology
646,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.6155M"", ""A comparative study of convolutional neural networks for the detection of strong gravitational lensing"")",2021-8-1,Object Detection,CNN,Gravitational Lenses
647,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.6069D"", ""The effect of phased recurrent units in the classification of multiple catalogues of astronomical light curves"")",2021-8-1,Object Classification,LSTM,Stars
648,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.5853G"", ""Artificial Neural Network classification of 4FGL sources"")",2021-8-1,Object Classification,NN:MLP,High Energy: Gamma Rays
649,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.5702O"", ""Focal plane wavefront sensing using machine learning: performance of convolutional neural networks compared to fundamental limits"")",2021-8-1,Prediction,CNN:ResNet+Unet,Instruments/Software/Methods
650,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4717J"", ""Point spread function estimation for wide field small aperture telescopes with deep neural networks and calibration data"")",2021-8-1,Prediction,CNN,Instruments/Software/Methods
651,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4362P"", ""Strong lens modelling: comparing and combining Bayesian neural networks and parametric profile fitting"")",2021-8-1,Prediction-Regression,CNN:BayesCNN,Gravitational Lenses
652,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4345B"", ""Light-curve classification with recurrent neural networks for GOTO: dealing with imbalanced data"")",2021-8-1,Object Classification,RNN,Instruments/Software/Methods
653,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.3982B"", ""Deep learning approach for identification of H II regions during reionization in 21-cm observations"")",2021-8-1,Image Segmentation,Unet,Instruments/Software/Methods
655,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.2224S"", ""On planetary systems as ordered sequences"")",2021-8-1,Object Classification,NN:MLP,Planet
656,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.2124L"", ""Magnetic activity and age estimation of red giants using neural networks"")",2021-8-1,Prediction-Regression,NN:MLP,Stars
657,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJS..255...24V"", ""A Deep-learning Approach for Live Anomaly Detection of Extragalactic Transients"")",2021-8-1,Anomaly Detection,VAE,Transient
658,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...916..100R"", ""Analyzing the Galactic Pulsar Distribution with Machine Learning"")",2021-8-1,Prediction-Regression,CNN,Stars
659,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....162...67Q"", ""SCONE: Supernova Classification with a Convolutional Neural Network"")",2021-8-1,Object Classification,CNN,Stars
660,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...652A.143B"", ""A deep learning method to estimate magnetic fields in solar active regions from photospheric continuum images"")",2021-8-1,Prediction,CNN:ResNet,Solar
661,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...652A.132B"", ""Performance of solar far-side active region neural detection"")",2021-8-1,Object Detection,Unet,Solar
662,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...652A.107V"", ""Finding flares in Kepler and TESS data with recurrent deep neural networks"")",2021-8-1,Object Detection,LSTM,Stars
663,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...652A..78S"", ""Exploring the Sun's upper atmosphere with neural networks: Reversed patterns and the hot wall effect"")",2021-8-1,Object Detection,NN:MLP,Solar
664,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...652A..62L"", ""Catalog-free modeling of galaxy types in deep images. Massive dimensional reduction with neural networks"")",2021-8-1,Prediction,CNN:InceptionNet,Galaxies
665,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...652A..13J"", ""Multi-channel coronal hole detection with convolutional neural networks"")",2021-8-1,Object Detection,CNN,Solar
667,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.1464M"", ""Morphological classification of compact and extended radio galaxies using convolutional neural networks and data augmentation techniques"")",2021-7-1,Object Classification,CNN,Galaxies
668,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.1268F"", ""Deep learning Blazar classification based on multifrequency spectral energy distribution data"")",2021-7-1,Object Classification,LSTM,AGN
669,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.505..515Z"", ""Classification of periodic variable stars with novel cyclic-permutation invariant neural networks"")",2021-7-1,Object Classification,CNN:ResNet,Stars
670,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.6008B"", ""The application of machine learning to predictions of optical turbulence in the surface layer at Baikal Astrophysical Observatory"")",2021-7-1,Prediction,NN:GMDH,Instruments/Software/Methods
673,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...916...42W"", ""HInet: Generating Neutral Hydrogen from Dark Matter with Neural Networks"")",2021-7-1,Simulation,Unet,Cosmology
674,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...916....4T"", ""Quantifying Non-parametric Structure of High-redshift Galaxies with Deep Learning"")",2021-7-1,Prediction-Regression,CNN,Galaxies
675,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...915..119K"", ""Identification of Lensed Gravitational Waves with Deep Learning"")",2021-7-1,Object Detection,CNN:VGG,Gravitational Waves
676,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...915...96H"", ""Mapping Solar X-Ray Images from SDO/AIA EUV Images by Deep Learning"")",2021-7-1,Simulation,CNN:ResNet,Solar
678,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...915...36B"", ""Identifying Acoustic Wave Sources on the Sun. I. Two-dimensional Waves in a Simulated Photosphere"")",2021-7-1,Object Detection,CNN,Solar
679,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...915....5I"", ""The ACTIONFINDER: An Unsupervised Deep Learning Algorithm for Calculating Actions and the Acceleration Field from a Set of Orbit Segments"")",2021-7-1,Simulation,CNN:ResNet,Instruments/Software/Methods
680,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...651A..65L"", ""SRoll3: A neural network approach to reduce large-scale systematic effects in the Planck High-Frequency Instrument maps"")",2021-7-1,Denoising,CNN,Instruments/Software/Methods
681,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...651A..55S"", ""Photometric redshift estimation with a convolutional neural network: NetZ"")",2021-7-1,Prediction-Regression,CNN,Galaxies
682,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...651A..46U"", ""Encoding large-scale cosmological structure with generative adversarial networks"")",2021-7-1,Generation,GAN,Cosmology
683,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...651A..31G"", ""Machine learning initialization to accelerate Stokes profile inversions"")",2021-7-1,Simulation,CNN,Solar
684,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021RAA....21..119Y"", ""Radio frequency interference detection based on the AC-UNet model"")",2021-6-1,Object Detection,Unet,Instruments/Software/Methods
685,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021RAA....21..113B"", ""Predicting the evolution of photospheric magnetic field in solar active regions using deep learning"")",2021-6-1,Prediction,LSTM:ST-LSTM,Solar
686,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.2603T"", ""A generative model of galactic dust emission using variational autoencoders"")",2021-6-1,Generation,VAE,Galaxies
687,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.1077L"", ""Learning deconvolutions for astronomical images"")",2021-6-1,Image Restoration,Unet,Instruments/Software/Methods
688,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.504..692C"", ""Artificial neural network classification of asteroids in the M1:2 mean-motion resonance with Mars"")",2021-6-1,Object Classification,NN:MLP,Planet
689,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.504..372B"", ""Convolutional neural network identification of galaxy post-mergers in UNIONS using IllustrisTNG"")",2021-6-1,Object Detection,CNN,Galaxies
690,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJS..254...43W"", ""Likelihood-free Cosmological Constraints with Artificial Neural Networks: An Application on Hubble Parameters and SNe Ia"")",2021-6-1,Prediction-Regression,Flow:MAF,Cosmology
691,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJS..254...41W"", ""Predicting Localized Primordial Star Formation with Deep Convolutional Neural Networks"")",2021-6-1,Object Detection,Unet,Stars
692,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...914...67P"", ""A Deep Learning Method for AGILE-GRID Gamma-Ray Burst Detection"")",2021-6-1,Object Detection,CNN,High Energy: Gamma Rays
693,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....161..273O"", ""Identifying Planetary Transit Candidates in TESS Full-frame Image Light Curves via Convolutional Neural Networks"")",2021-6-1,Object Detection,CNN:Conv1d,Planet
694,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...650A.198V"", ""A powerful machine learning technique to extract proton core, beam, and \ensuremath\alpha-particle parameters from velocity distribution functions in space plasmas"")",2021-6-1,Prediction-Regression,CNN,High Energy: Plasma
695,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...650A.100M"", ""Bayesian decomposition of the Galactic multi-frequency sky using probabilistic autoencoders"")",2021-6-1,Generation,VAE,Cosmology
696,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...650A..58M"", ""Constraining stellar evolution theory with asteroseismology of \ensuremath\gamma Doradus stars using deep learning. Stellar masses, ages, and core-boundary mixing"")",2021-6-1,Prediction-Regression,NN:MLP,Stars
697,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021RAA....21...79D"", ""Solar radio filtering algorithm based on improved long short-term memory"")",2021-5-1,Denoising,LSTM,Solar
699,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021PhRvD.103j2003B"", ""Convolutional neural networks for the detection of the early inspiral of a gravitational-wave signal"")",2021-5-1,Object Detection,CNN,Gravitational Waves
700,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.4838K"", ""Transient-optimized real-bogus classification with Bayesian convolutional neural networks - sifting the GOTO candidate stream"")",2021-5-1,Object Classification,CNN:BayesCNN,Transient
701,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.4581L"", ""Model-independent calibrations of gamma-ray bursts using machine learning"")",2021-5-1,Prediction-Regression,NN:MLP,High Energy: Gamma Rays
702,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.3351B"", ""Structured variational inference for simulating populations of radio galaxies"")",2021-5-1,Generation,VAE,Galaxies
703,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.3204V"", ""Learning to denoise astronomical images with U-nets"")",2021-5-1,Denoising,Unet,Instruments/Software/Methods
704,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.3194J"", ""Compressive Shack-Hartmann wavefront sensor based on deep neural networks"")",2021-5-1,Data Reconstruction,Unet,Instruments/Software/Methods
705,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2944S"", ""Closed loop predictive control of adaptive optics systems with convolutional neural networks"")",2021-5-1,Prediction,LSTM,Instruments/Software/Methods
707,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2639C"", ""QSO photometric redshifts using machine learning and neural networks"")",2021-5-1,Prediction-Regression,NN:MLP,Quasars
708,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2562Z"", ""Baryon acoustic oscillations in the projected cross-correlation function between the eBOSS DR16 quasars and photometric galaxies from the DESI Legacy Imaging Surveys"")",2021-5-1,Prediction-Regression,NN:MLP,Galaxies
709,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2369S"", ""Fanaroff-Riley classification of radio galaxies using group-equivariant convolutional neural networks"")",2021-5-1,Object Classification,CNN:G-CNNs,Galaxies
710,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2229M"", ""Auto-identification of unphysical source reconstructions in strong gravitational lens modelling"")",2021-5-1,Object Detection,CNN,Gravitational Lenses
712,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1828B"", ""CNN architecture comparison for radio galaxy classification"")",2021-5-1,Object Classification,CNN,Galaxies
713,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1636B"", ""A machine learning approach to measuring the quenched fraction of low-mass satellites beyond the Local Group"")",2021-5-1,Object Classification,NN:MLP,Galaxies
714,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503..777B"", ""Survey2Survey: a deep learning generative model approach for cross-survey image mapping"")",2021-5-1,Generation,AE:Conv+GAN,Galaxies
715,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.503..574D"", ""A self-supervised, physics-aware, Bayesian neural network architecture for modelling galaxy emission-line kinematics"")",2021-5-1,Generation,AE:Conv,Galaxies
716,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...913...76H"", ""Revealing the Local Cosmic Web from Galaxies by Deep Learning"")",2021-5-1,Data Reconstruction,Unet,Galaxies
717,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...913...12D"", ""Disentangled Representation Learning for Astronomical Chemical Tagging"")",2021-5-1,Feature Extraction/Dim Reduction/Cluster,AE,Stars
718,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...913....2W"", ""Cosmic Velocity Field Reconstruction Using AI"")",2021-5-1,Data Reconstruction,Unet,Cosmology
720,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021ApJ...912...22P"", ""On the Detectability of Ultracompact Binary Pulsar Systems"")",2021-5-1,Object Detection,NN:MLP,Stars
721,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....161..242F"", ""The Automatic Learning for the Rapid Classification of Events (ALeRCE) Alert Broker"")",2021-5-1,Object Classification,NN,Instruments/Software/Methods
722,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....161..218D"", ""Tails: Chasing Comets with the Zwicky Transient Facility and Deep Learning"")",2021-5-1,Object Classification,CNN:EfficientNet,Planet
723,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021AJ....161..216Y"", ""Active Optical Control with Machine Learning: A Proof of Concept for the Vera C. Rubin Observatory"")",2021-5-1,Prediction-Regression,CNN:ResNet,Instruments/Software/Methods
724,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...649A..81N"", ""Photometric selection and redshifts for quasars in the Kilo-Degree Survey Data Release 4"")",2021-5-1,Object Detection + Prediction-Regression,NN:MLP,Quasars
725,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021A&A...649A..46P"", ""Asteroid spectral taxonomy using neural networks"")",2021-5-1,Object Classification,NN:MLP,Planet
726,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021PhRvD.103h4049Y"", ""Use of an excess power method and a convolutional neural network in an all-sky search for continuous gravitational waves"")",2021-4-1,Object Detection,CNN:Conv1d,Gravitational Waves
728,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.5362L"", ""Stability time-scale prediction for main-belt asteroids using neural networks"")",2021-4-1,Prediction,NN:PNN,Planet
729,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.3510L"", ""A deep learning approach to quasar continuum prediction"")",2021-4-1,Prediction,NN:MLP,Quasars
730,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.3200J"", ""Construction of a far-ultraviolet all-sky map from an incomplete survey: application of a deep learning algorithm"")",2021-4-1,Data Reconstruction,CNN,Galaxies
